MONTH,AAA Bond Rate,BAA Bond Rate,Consumer Confidence Index,Consumer Price Index,Corporate Profits,Credit Card Transactions,Dow Jones,Effective Rate,GDP,GDP per capita,House Majority,Money Velocity,NASDAQ,NASDAQ100,PMI Manufacturing,Population,Presidency,S&P500,S&P500-BBlower,S&P500-BBmiddle,S&P500-BBupper,S&P500-MACD,S&P500-MACDhist,S&P500-MACDsignal,S&P500-RSI,Senate Majority,Targeted Rate,US Bonds Rate 10y,US Bonds Rate 1y,US Debt,US Market Cap,US Trade Balance,Unemployment Rate
1973-01-01,7.15,7.9,99.5364569423453,42.7,,1621250.0,,5.94,,,1,,133.529048,,18276.0,210985.0,2,,,,,,,,,1,5.94,6.46,5.89,,6.3760206102434,5.41,4.9
1973-02-01,7.22,7.97,99.2807265038976,43.0,,1588500.0,,6.58,,,1,,124.496842,,18410.0,211120.0,2,,,,,,,,,1,6.58,6.64,6.19,,6.09215635350604,5.6,5.0
1973-03-01,7.29,8.03,99.0607103078005,43.4,,1570000.0,,7.09,,,1,,119.582727,,18493.0,211254.0,2,,,,,,,,,1,7.09,6.71,6.85,,5.95648176045907,6.09,4.9
1973-04-01,7.26,8.09,98.8528351608781,43.7,99.033,1553750.0,,7.12,5707.755,26966.0,1,5.55,112.95,,18530.0,211420.0,2,,,,,,,,,1,7.12,6.67,6.85,32.34466,5.80969850283992,6.26,5.0
1973-05-01,7.29,8.06,98.6553779631607,43.9,99.033,1559250.0,,7.84,5707.755,26966.0,1,5.55,106.370909,,18564.0,211577.0,2,,,,,,,,,1,7.84,6.85,6.89,32.34466,5.61914489873998,6.36,4.9
1973-06-01,7.37,8.13,98.4979355842149,44.2,99.033,1567200.0,,8.49,5707.755,26966.0,1,5.55,101.752857,,18606.0,211746.0,2,,,,,,,,,1,8.49,6.9,7.31,32.34466,5.46007817581644,7.19,4.9
1973-07-01,7.45,8.24,98.4364277022964,44.2,101.161,1601750.0,,10.4,5677.738,26758.0,1,5.564,104.68619,,18598.0,211909.0,2,,,,,,,,,1,10.4,7.13,8.39,32.12455,5.55803041336154,8.01,4.8
1973-08-01,7.68,8.53,98.5080848259457,45.0,101.161,1664750.0,,10.5,5677.738,26758.0,1,5.564,104.389565,,18629.0,212092.0,2,,,,,,,,,1,10.5,7.4,8.82,32.12455,5.47903012161879,8.67,4.8
1973-09-01,7.63,8.63,98.5905018173415,45.2,101.161,1670200.0,,10.78,5677.738,26758.0,1,5.564,107.642632,,18609.0,212289.0,2,,,,,,,,,1,10.78,7.09,8.31,32.12455,5.61588884367319,8.29,4.8
1973-10-01,7.6,8.41,98.5121896909959,45.6,106.253,1664250.0,,10.01,5731.632,26946.0,1,5.657,112.357391,,18702.0,212475.0,2,,,,,,,,,1,10.01,6.79,7.4,31.77379,5.86977279187503,7.22,4.6
1973-11-01,7.67,8.42,98.1523675447019,45.9,106.253,1706000.0,,10.03,5731.632,26946.0,1,5.657,101.291905,,18773.0,212634.0,2,,,,,,,,,1,10.03,6.73,7.57,31.77379,5.4061315239976,7.83,4.8
1973-12-01,7.68,8.48,97.7014836082234,46.3,106.253,1765800.0,,9.95,5731.632,26946.0,1,5.657,90.7925,,18820.0,212785.0,2,,,,,,,,,1,9.95,6.74,7.27,31.77379,4.99026665661411,7.45,4.9
1974-01-01,7.83,8.48,97.4258215765989,46.8,112.656,1957000.0,,9.65,5682.353,26660.0,1,5.622,94.209091,,18788.0,212932.0,2,,,,,,,,,1,9.65,6.99,7.42,31.76449,5.08955923431344,7.77,5.1
1974-02-01,7.85,8.53,97.5231687336297,47.3,112.656,2012250.0,,8.97,5682.353,26660.0,1,5.622,92.203684,,18727.0,213074.0,2,,,,,,,,,1,8.97,6.96,6.88,31.76449,4.95210940306063,7.12,5.2
1974-03-01,8.01,8.62,97.8032621705139,47.8,112.656,2055600.0,,9.35,5682.353,26660.0,1,5.622,94.965238,,18700.0,213211.0,2,,,,,,,,,1,9.35,7.21,7.76,31.76449,5.16450439557506,7.96,5.1
1974-04-01,8.25,8.87,98.0074976062208,48.1,115.543,2066000.0,,10.51,5695.859,26666.0,1,5.714,89.589048,,18702.0,213361.0,2,,,,,,,,,1,10.51,7.51,8.62,30.99462,4.87320763888336,8.33,5.1
1974-05-01,8.37,9.05,97.9458919292253,48.6,115.543,2051750.0,,11.31,5695.859,26666.0,1,5.714,83.397273,,18688.0,213513.0,2,,,,,,,,,1,11.31,7.58,8.78,30.99462,4.68892275747936,8.23,5.1
1974-06-01,8.47,9.27,97.7099037392061,49.0,115.543,2076200.0,,11.93,5695.859,26666.0,1,5.714,81.0015,,18690.0,213686.0,2,,,,,,,,,1,11.93,7.54,8.67,30.99462,4.66797755781821,7.9,5.4
1974-07-01,8.72,9.48,97.4222593120696,49.3,121.06,2122750.0,,12.92,5642.025,26347.0,1,5.775,72.435,,18656.0,213854.0,2,,,,,,,,,1,12.92,7.81,8.8,30.86269,4.28479540779126,7.55,5.5
1974-08-01,9.0,9.77,97.1611610792127,49.9,121.06,2173800.0,,12.01,5642.025,26347.0,1,5.775,66.582273,,18570.0,214042.0,2,,,,,,,,,1,12.01,8.04,9.36,30.86269,3.94704986272169,8.96,5.5
1974-09-01,9.24,10.18,96.9361523426883,50.6,121.06,2279500.0,,11.34,5642.025,26347.0,1,5.775,58.642,,18492.0,214246.0,2,,,,,,,,,1,11.34,8.04,8.87,30.86269,3.53450314524902,8.06,5.9
1974-10-01,9.27,10.48,96.7508102374702,51.0,107.908,2448750.0,,10.06,5620.126,26177.0,1,5.851,60.575217,,18364.0,214451.0,2,,,,,,,,,1,10.06,7.9,8.05,30.79768,3.62613284456668,7.46,6.0
1974-11-01,8.89,10.6,96.6293491961707,51.5,107.908,2803600.0,,9.45,5620.126,26177.0,1,5.851,63.9425,,18077.0,214625.0,2,,,,,,,,,1,9.45,7.68,7.66,30.79768,3.76153800405817,7.47,6.6
1974-12-01,8.89,10.63,96.6035577836675,51.9,107.908,3291250.0,,8.53,5620.126,26177.0,1,5.851,59.161905,,17693.0,214782.0,2,,,,,,,,,1,8.53,7.43,7.31,30.79768,3.50644762702634,7.15,7.2
1975-01-01,8.83,10.81,96.7573270827067,52.3,94.707,3619250.0,,7.13,5551.713,25806.0,1,5.875,64.457273,,17344.0,214931.0,2,,,,,,,,,1,7.13,7.5,6.83,31.53604,3.81839867418611,6.26,8.1
1975-02-01,8.62,10.65,97.1755094494956,52.6,94.707,3856500.0,,6.24,5551.713,25806.0,1,5.875,72.083158,,17004.0,215065.0,2,,,,,,,,,1,6.24,7.39,5.98,31.53604,4.20644876964639,5.5,8.1
1975-03-01,8.67,10.48,97.7132165589677,52.8,94.707,4175200.0,,5.54,5551.713,25806.0,1,5.875,75.057,,16853.0,215198.0,2,,,,,,,,,1,5.54,7.73,6.11,31.53604,4.39221744621608,5.49,8.6
1975-04-01,8.95,10.58,98.1930982872047,53.0,99.406,4473500.0,,5.49,5591.382,25928.0,1,5.915,76.975,,16759.0,215353.0,2,,,,,,,,,1,5.49,8.23,6.9,32.27817,4.44778905360621,5.61,8.8
1975-05-01,8.9,10.69,98.4830968499614,53.1,99.406,4578200.0,,5.22,5591.382,25928.0,1,5.915,81.847619,,16746.0,215523.0,2,,,,,,,,,1,5.22,8.06,6.39,32.27817,4.72923394349556,5.23,9.0
1975-06-01,8.77,10.62,98.6320263236393,53.5,99.406,4377250.0,,5.55,5591.382,25928.0,1,5.915,84.641429,,16690.0,215768.0,2,,,,,,,,,1,5.55,7.86,6.29,32.27817,4.87424232817265,5.34,8.8
1975-07-01,8.84,10.55,98.6969976106675,54.0,115.831,4144750.0,,6.1,5687.087,26294.0,1,6.01,85.62,,16678.0,215973.0,2,,,,,,,,,1,6.1,8.06,7.11,32.38043,4.90628876537561,6.13,8.6
1975-08-01,8.95,10.59,98.7119124927483,54.2,115.831,3954200.0,,6.14,5687.087,26294.0,1,6.01,78.407619,,16824.0,216195.0,2,,,,,,,,,1,6.14,8.4,7.7,32.38043,4.52627839750347,6.44,8.4
1975-09-01,8.95,10.61,98.7399158719664,54.6,115.831,3895000.0,,6.24,5687.087,26294.0,1,6.01,75.914762,,16904.0,216393.0,2,,,,,,,,,1,6.24,8.43,7.75,32.38043,4.45336835495024,6.42,8.4
1975-10-01,8.86,10.62,98.8544318019499,54.9,124.091,3731250.0,,5.82,5763.665,26579.0,1,6.151,77.258261,,16984.0,216587.0,2,,,,,,,,,1,5.82,8.14,6.95,32.7301,4.64152545396904,5.96,8.4
1975-11-01,8.78,10.56,99.1071110206786,55.3,124.091,3494400.0,,5.22,5763.665,26579.0,1,6.151,78.040526,,17025.0,216771.0,2,,,,,,,,,1,5.22,8.05,6.49,32.7301,4.71756175182386,5.48,8.3
1975-12-01,8.79,10.56,99.4092659337432,55.6,124.091,3198250.0,,5.2,5763.665,26579.0,1,6.151,75.908182,,17140.0,216931.0,2,,,,,,,,,1,5.2,8.0,6.6,32.7301,4.63275386886936,5.44,8.2
1976-01-01,8.6,10.41,99.6436092403038,55.8,132.702,3035200.0,,4.87,5893.276,27119.0,1,6.264,83.377143,,17287.0,217095.0,2,,,,,,,,,1,4.87,7.74,5.81,32.98513,5.08168897039162,4.87,7.9
1976-02-01,8.55,10.24,99.7265168647132,55.9,132.702,2865750.0,,4.77,5893.276,27119.0,1,6.264,89.302105,,17384.0,217249.0,2,,,,,,,,,1,4.77,7.79,5.91,32.98513,5.32124272106537,4.88,7.7
1976-03-01,8.52,10.12,99.7381024946447,56.0,132.702,2843000.0,,4.84,5893.276,27119.0,1,6.264,90.241304,,17470.0,217381.0,2,,,,,,,,,1,4.84,7.73,6.21,32.98513,5.34852060204838,5.0,7.6
1976-04-01,8.4,9.94,99.7866718239653,56.1,136.551,2872250.0,,4.82,5936.515,27260.0,1,6.266,90.141429,,17541.0,217528.0,2,,,,,,,,,1,4.82,7.56,5.92,33.49464,5.37534054526391,4.86,7.7
1976-05-01,8.58,9.86,99.9444987888735,56.4,136.551,2941000.0,,5.29,5936.515,27260.0,1,6.266,89.291,,17513.0,217685.0,2,,,,,,,,,1,5.29,7.9,6.4,33.49464,5.33499138117946,5.2,7.4
1976-06-01,8.62,9.89,100.146618105862,56.7,136.551,2989500.0,,5.48,5936.515,27260.0,1,6.266,88.766818,,17521.0,217861.0,2,,,,,,,,,1,5.48,7.86,6.52,33.49464,5.37022486669042,5.41,7.6
1976-07-01,8.56,9.82,100.292139884848,57.0,138.84,2995800.0,,5.31,5969.089,27339.0,1,6.318,91.447619,,17524.0,218035.0,2,,,,,,,,,1,5.31,7.83,6.2,33.64333,5.51356545690988,5.23,7.8
1976-08-01,8.45,9.64,100.301271891442,57.3,138.84,3015250.0,,5.29,5969.089,27339.0,1,6.318,90.870909,,17596.0,218233.0,2,,,,,,,,,1,5.29,7.77,6.0,33.64333,5.46465278633052,5.14,7.8
1976-09-01,8.38,9.4,100.228939345999,57.6,138.84,3070000.0,,5.25,5969.089,27339.0,1,6.318,91.405714,,17665.0,218440.0,2,,,,,,,,,1,5.25,7.59,5.84,33.64333,5.57453195425961,5.08,7.6
1976-10-01,8.32,9.29,100.146327563618,57.9,139.091,3093000.0,,5.02,6012.356,27464.0,1,6.364,89.5,,17548.0,218644.0,2,,,,,,,,,1,5.02,7.41,5.5,33.78753,5.39057547309855,4.92,7.7
