Date,PMI_Manufacturing,Unemployment_Rate,GDP per capita,BAA_Bond_Rate,Market_Stress,US_Bonds_Rate_1y,Money_Velocity,Population,Consumer_Price_Index,GDP,Corporate_Profits,AAA_Bond_Rate,US_Trade_Balance,US_Debt,US_Market_Cap,Credit_Card_Transactions,Consumer_Confidence_Index,US_Bonds_Rate_10y,Effective_Rate
1973-01-01,18276.0,4.9,,7.9,,5.89,,210985.0,42.7,,,7.15,5.41,,6.3760206102434,1621250.0,99.5364569423453,6.46,5.94
1973-02-01,18410.0,5.0,,7.97,,6.19,,211120.0,43.0,,,7.22,5.6,,6.09215635350604,1588500.0,99.2807265038976,6.64,6.58
1973-03-01,18493.0,4.9,,8.03,,6.85,,211254.0,43.4,,,7.29,6.09,,5.95648176045907,1570000.0,99.0607103078005,6.71,7.09
1973-04-01,18530.0,5.0,26966.0,8.09,,6.85,5.55,211420.0,43.7,5707.755,99.033,7.26,6.26,32.34466,5.80969850283992,1553750.0,98.8528351608781,6.67,7.12
1973-05-01,18564.0,4.9,26966.0,8.06,,6.89,5.55,211577.0,43.9,5707.755,99.033,7.29,6.36,32.34466,5.61914489873998,1559250.0,98.6553779631607,6.85,7.84
1973-06-01,18606.0,4.9,26966.0,8.13,,7.31,5.55,211746.0,44.2,5707.755,99.033,7.37,7.19,32.34466,5.46007817581644,1567200.0,98.4979355842149,6.9,8.49
1973-07-01,18598.0,4.8,26758.0,8.24,,8.39,5.564,211909.0,44.2,5677.738,101.161,7.45,8.01,32.12455,5.55803041336154,1601750.0,98.4364277022964,7.13,10.4
1973-08-01,18629.0,4.8,26758.0,8.53,,8.82,5.564,212092.0,45.0,5677.738,101.161,7.68,8.67,32.12455,5.47903012161879,1664750.0,98.5080848259457,7.4,10.5
1973-09-01,18609.0,4.8,26758.0,8.63,,8.31,5.564,212289.0,45.2,5677.738,101.161,7.63,8.29,32.12455,5.61588884367319,1670200.0,98.5905018173415,7.09,10.78
1973-10-01,18702.0,4.6,26946.0,8.41,,7.4,5.657,212475.0,45.6,5731.632,106.253,7.6,7.22,31.77379,5.86977279187503,1664250.0,98.5121896909959,6.79,10.01
1973-11-01,18773.0,4.8,26946.0,8.42,,7.57,5.657,212634.0,45.9,5731.632,106.253,7.67,7.83,31.77379,5.4061315239976,1706000.0,98.1523675447019,6.73,10.03
1973-12-01,18820.0,4.9,26946.0,8.48,,7.27,5.657,212785.0,46.3,5731.632,106.253,7.68,7.45,31.77379,4.99026665661411,1765800.0,97.7014836082234,6.74,9.95
1974-01-01,18788.0,5.1,26660.0,8.48,,7.42,5.622,212932.0,46.8,5682.353,112.656,7.83,7.77,31.76449,5.08955923431344,1957000.0,97.4258215765989,6.99,9.65
1974-02-01,18727.0,5.2,26660.0,8.53,,6.88,5.622,213074.0,47.3,5682.353,112.656,7.85,7.12,31.76449,4.95210940306063,2012250.0,97.5231687336297,6.96,8.97
1974-03-01,18700.0,5.1,26660.0,8.62,,7.76,5.622,213211.0,47.8,5682.353,112.656,8.01,7.96,31.76449,5.16450439557506,2055600.0,97.8032621705139,7.21,9.35
