Date,GDP,GDP per capita,Consumer_Confidence_Index,Population,US_Bonds_Rate_1y,Consumer_Price_Index,US_Trade_Balance,AAA_Bond_Rate,US_Debt,Credit_Card_Transactions,Corporate_Profits,Unemployment_Rate,BAA_Bond_Rate,US_Market_Cap,Effective_Rate,Market_Stress,US_Bonds_Rate_10y,PMI_Manufacturing,Money_Velocity
1973-08-01,,,98.5480250517242,212092.0,8.82,45.0,8.67,7.68,,1664750.0,,4.8,8.53,5.47903012161879,10.5,,7.4,18629.0,
1973-09-01,,,98.629423873398,212289.0,8.31,45.2,8.29,7.63,,1670200.0,,4.8,8.63,5.61588884367319,10.78,,7.09,18609.0,
1973-10-01,5731.632,26946.0,98.5520792057591,212475.0,7.4,45.6,7.22,7.6,31.77379,1664250.0,106.253,4.6,8.41,5.86977279187503,10.01,,6.79,18702.0,5.657
1973-11-01,5731.632,26946.0,98.1967022595199,212634.0,7.57,45.9,7.83,7.67,31.77379,1706000.0,106.253,4.8,8.42,5.4061315239976,10.03,,6.73,18773.0,5.657
1973-12-01,5731.632,26946.0,97.7513884896356,212785.0,7.27,46.3,7.45,7.68,31.77379,1765800.0,106.253,4.9,8.48,4.99026665661411,9.95,,6.74,18820.0,5.657
1974-01-01,5682.353,26660.0,97.479131954006,212932.0,7.42,46.8,7.77,7.83,31.76449,1957000.0,112.656,5.1,8.48,5.08955923431344,9.65,,6.99,18788.0,5.622
1974-02-01,5682.353,26660.0,97.5752764958219,213074.0,6.88,47.3,7.12,7.85,31.76449,2012250.0,112.656,5.2,8.53,4.95210940306063,8.97,,6.96,18727.0,5.622
1974-03-01,5682.353,26660.0,97.8519096916571,213211.0,7.76,47.8,7.96,8.01,31.76449,2055600.0,112.656,5.1,8.62,5.16450439557506,9.35,,7.21,18700.0,5.622
1974-04-01,5695.859,26666.0,98.0536220270508,213361.0,8.62,48.1,8.33,8.25,30.99462,2066000.0,115.543,5.1,8.87,4.87320763888336,10.51,,7.51,18702.0,5.714
1974-05-01,5695.859,26666.0,97.9927774192713,213513.0,8.78,48.6,8.23,8.37,30.99462,2051750.0,115.543,5.1,9.05,4.68892275747936,11.31,,7.58,18688.0,5.714
1974-06-01,5695.859,26666.0,97.7597045993203,213686.0,8.67,49.0,7.9,8.47,30.99462,2076200.0,115.543,5.4,9.27,4.66797755781821,11.93,,7.54,18690.0,5.714
1974-07-01,5642.025,26347.0,97.4756136972695,213854.0,8.8,49.3,7.55,8.72,30.86269,2122750.0,121.06,5.5,9.48,4.28479540779126,12.92,,7.81,18656.0,5.775
1974-08-01,5642.025,26347.0,97.2177410409674,214042.0,9.36,49.9,8.96,9.0,30.86269,2173800.0,121.06,5.5,9.77,3.94704986272169,12.01,,8.04,18570.0,5.775
1974-09-01,5642.025,26347.0,96.995512035647,214246.0,8.87,50.6,8.06,9.24,30.86269,2279500.0,121.06,5.9,10.18,3.53450314524902,11.34,,8.04,18492.0,5.775
1974-10-01,5620.126,26177.0,96.8124596247813,214451.0,8.05,51.0,7.46,9.27,30.79768,2448750.0,107.908,6.0,10.48,3.62613284456668,10.06,,7.9,18364.0,5.851
1974-11-01,5620.126,26177.0,96.6924990987586,214625.0,7.66,51.5,7.47,8.89,30.79768,2803600.0,107.908,6.6,10.6,3.76153800405817,9.45,,7.68,18077.0,5.851
1974-12-01,5620.126,26177.0,96.667026310302,214782.0,7.31,51.9,7.15,8.89,30.79768,3291250.0,107.908,7.2,10.63,3.50644762702634,8.53,,7.43,17693.0,5.851
1975-01-01,5551.713,25806.0,96.8188959616859,214931.0,6.83,52.3,6.26,8.83,31.53604,3619250.0,94.707,8.1,10.81,3.81839867418611,7.13,,7.5,17344.0,5.875
1975-02-01,5551.713,25806.0,97.2319121531882,215065.0,5.98,52.6,5.5,8.62,31.53604,3856500.0,94.707,8.1,10.65,4.20644876964639,6.24,,7.39,17004.0,5.875
1975-03-01,5551.713,25806.0,97.7629764929,215198.0,6.11,52.8,5.49,8.67,31.53604,4175200.0,94.707,8.6,10.48,4.39221744621608,5.54,,7.73,16853.0,5.875
1975-04-01,5591.382,25928.0,98.236929819268,215353.0,6.9,53.0,5.61,8.95,32.27817,4473500.0,99.406,8.8,10.58,4.44778905360621,5.49,,8.23,16759.0,5.915
1975-05-01,5591.382,25928.0,98.5233457742271,215523.0,6.39,53.1,5.23,8.9,32.27817,4578200.0,99.406,9.0,10.69,4.72923394349556,5.22,,8.06,16746.0,5.915
1975-06-01,5591.382,25928.0,98.6704353908773,215768.0,6.29,53.5,5.34,8.77,32.27817,4377250.0,99.406,8.8,10.62,4.87424232817265,5.55,,7.86,16690.0,5.915
1975-07-01,5687.087,26294.0,98.734604030343,215973.0,7.11,54.0,6.13,8.84,32.38043,4144750.0,115.831,8.6,10.55,4.90628876537561,6.1,,8.06,16678.0,6.01
1975-08-01,5687.087,26294.0,98.7493346557423,216195.0,7.7,54.2,6.44,8.95,32.38043,3954200.0,115.831,8.4,10.59,4.52627839750347,6.14,,8.4,16824.0,6.01
1975-09-01,5687.087,26294.0,98.7769920845399,216393.0,7.75,54.6,6.42,8.95,32.38043,3895000.0,115.831,8.4,10.61,4.45336835495024,6.24,,8.43,16904.0,6.01
1975-10-01,5763.665,26579.0,98.8900932983267,216587.0,6.95,54.9,5.96,8.86,32.7301,3731250.0,124.091,8.4,10.62,4.64152545396904,5.82,,8.14,16984.0,6.151
1975-11-01,5763.665,26579.0,99.1396509480012,216771.0,6.49,55.3,5.48,8.78,32.7301,3494400.0,124.091,8.3,10.56,4.71756175182386,5.22,,8.05,17025.0,6.151
1975-12-01,5763.665,26579.0,99.4380730751605,216931.0,6.6,55.6,5.44,8.79,32.7301,3198250.0,124.091,8.2,10.56,4.63275386886936,5.2,,8.0,17140.0,6.151
1976-01-01,5893.276,27119.0,99.6695213323477,217095.0,5.81,55.8,4.87,8.6,32.98513,3035200.0,132.702,7.9,10.41,5.08168897039162,4.87,,7.74,17287.0,6.264
1976-02-01,5893.276,27119.0,99.7514047258131,217249.0,5.91,55.9,4.88,8.55,32.98513,2865750.0,132.702,7.7,10.24,5.32124272106537,4.77,,7.79,17384.0,6.264
1976-03-01,5893.276,27119.0,99.7628472282486,217381.0,6.21,56.0,5.0,8.52,32.98513,2843000.0,132.702,7.6,10.12,5.34852060204838,4.84,,7.73,17470.0,6.264
1976-04-01,5936.515,27260.0,99.8108165378439,217528.0,5.92,56.1,4.86,8.4,33.49464,2872250.0,136.551,7.7,9.94,5.37534054526391,4.82,,7.56,17541.0,6.266
1976-05-01,5936.515,27260.0,99.9666937271748,217685.0,6.4,56.4,5.2,8.58,33.49464,2941000.0,136.551,7.4,9.86,5.33499138117946,5.29,,7.9,17513.0,6.266
1976-06-01,5936.515,27260.0,100.166316086129,217861.0,6.52,56.7,5.41,8.62,33.49464,2989500.0,136.551,7.6,9.89,5.37022486669042,5.48,,7.86,17521.0,6.266
1976-07-01,5969.089,27339.0,100.310040106343,218035.0,6.2,57.0,5.23,8.56,33.64333,2995800.0,138.84,7.8,9.82,5.51356545690988,5.31,,7.83,17524.0,6.318
1976-08-01,5969.089,27339.0,100.319059297213,218233.0,6.0,57.3,5.14,8.45,33.64333,3015250.0,138.84,7.8,9.64,5.46465278633052,5.29,,7.77,17596.0,6.318
1976-09-01,5969.089,27339.0,100.247620339444,218440.0,5.84,57.6,5.08,8.38,33.64333,3070000.0,138.84,7.6,9.4,5.57453195425961,5.25,,7.59,17665.0,6.318
1976-10-01,6012.356,27464.0,100.16602913321,218644.0,5.5,57.9,4.92,8.32,33.78753,3093000.0,139.091,7.7,9.29,5.39057547309855,5.02,,7.41,17548.0,6.364
1976-11-01,6012.356,27464.0,100.124114994943,218834.0,5.29,58.1,4.75,8.25,33.78753,3055750.0,139.091,7.8,9.23,5.36465267394166,4.95,,7.29,17682.0,6.364
1976-12-01,6012.356,27464.0,100.124847102589,219006.0,4.89,58.4,4.35,7.98,33.78753,2923500.0,139.091,7.8,9.12,5.57903825107952,4.65,,6.87,17719.0,6.364
1977-01-01,6083.391,27724.0,100.170247698699,219179.0,5.29,58.7,4.62,7.96,33.65136,2827200.0,149.831,7.5,9.08,5.57383175294306,4.61,,7.21,17803.0,6.39
1977-02-01,6083.391,27724.0,100.264659048805,219344.0,5.47,59.3,4.67,8.04,33.65136,2849000.0,149.831,7.6,9.12,5.43929046104251,4.68,,7.39,17843.0,6.39
1977-03-01,6083.391,27724.0,100.373341910128,219504.0,5.5,59.6,4.6,8.1,33.65136,2702750.0,149.831,7.4,9.12,5.41383644517788,4.69,,7.46,17941.0,6.39
1977-04-01,6201.659,28195.0,100.452035202938,219684.0,5.44,60.0,4.54,8.04,32.80422,2671200.0,158.751,7.2,9.07,5.33959932435565,4.73,,7.37,18024.0,6.479
1977-05-01,6201.659,28195.0,100.462244171888,219859.0,5.84,60.2,4.96,8.05,32.80422,2631250.0,158.751,7.0,9.01,5.34327849537543,5.35,,7.46,18107.0,6.479
1977-06-01,6201.659,28195.0,100.416518114669,220046.0,5.8,60.5,5.02,7.95,32.80422,2619250.0,158.751,7.2,8.91,5.37755568282553,5.39,,7.28,18192.0,6.479
1977-07-01,6313.559,28623.0,100.320252630403,220239.0,5.94,60.8,5.19,7.94,32.98791,2583000.0,165.143,6.9,8.87,5.44096150541129,5.42,,7.33,18259.0,6.572
1977-08-01,6313.559,28623.0,100.169426894203,220458.0,6.37,61.1,5.49,7.98,32.98791,2610500.0,165.143,7.0,8.82,5.29879667122934,5.9,,7.4,18276.0,6.572
1977-09-01,6313.559,28623.0,99.9988803587886,220688.0,6.53,61.3,5.81,7.92,32.98791,2589500.0,165.143,6.8,8.8,5.21486976706941,6.14,,7.34,18334.0,6.572
1977-10-01,6313.697,28543.0,99.8491814908996,220904.0,6.97,61.6,6.16,8.04,33.21873,2576200.0,166.231,6.8,8.89,5.08702744114453,6.47,,7.52,18356.0,6.586
1977-11-01,6313.697,28543.0,99.7532173057303,221109.0,6.95,62.0,6.1,8.08,33.21873,2568500.0,166.231,6.8,8.95,5.13677735252123,6.51,,7.58,18419.0,6.586
1977-12-01,6313.697,28543.0,99.7019352350363,221303.0,6.96,62.3,6.07,8.19,33.21873,2507000.0,166.231,6.4,8.99,5.13276346875098,6.56,,7.69,18531.0,6.586
1978-01-01,6333.848,28567.0,99.6683241383196,221477.0,7.28,62.7,6.44,8.41,33.5012,2493500.0,171.939,6.4,9.17,4.94092192580181,6.7,,7.96,18593.0,6.564
1978-02-01,6333.848,28567.0,99.5867131995387,221629.0,7.34,63.0,6.45,8.47,33.5012,2555500.0,171.939,6.3,9.2,4.89269611972785,6.78,,8.03,18639.0,6.564
1978-03-01,6333.848,28567.0,99.4463690021447,221792.0,7.31,63.4,6.29,8.47,33.5012,2499750.0,171.939,6.3,9.22,4.90175064377743,6.79,,8.04,18699.0,6.564
1978-04-01,6578.605,29596.0,99.4450896418471,221991.0,7.45,63.9,6.29,8.56,32.12444,2349600.0,190.742,6.1,9.32,5.1250911403395,6.89,,8.15,18772.0,6.78
1978-05-01,6578.605,29596.0,99.4697031624858,222176.0,7.82,64.5,6.41,8.69,32.12444,2231500.0,190.742,6.0,9.49,5.39587421439018,7.36,,8.35,18848.0,6.78
1978-06-01,6578.605,29596.0,99.4332683949213,222379.0,8.09,65.0,6.73,8.76,32.12444,2221750.0,190.742,5.9,9.6,5.42999104167145,7.6,,8.46,18919.0,6.78
1978-07-01,6644.754,29806.0,99.4064249800287,222585.0,8.39,65.5,7.01,8.88,32.21407,2313200.0,197.659,6.2,9.6,5.4078708726948,7.81,,8.64,18951.0,6.847
1978-08-01,6644.754,29806.0,99.3059094620053,222805.0,8.31,65.9,7.08,8.69,32.21407,2398000.0,197.659,5.9,9.48,5.79653271944042,8.04,,8.41,19006.0,6.847
1978-09-01,6644.754,29806.0,99.2093313991998,223053.0,8.64,66.5,7.85,8.69,32.21407,2269800.0,197.659,6.0,9.42,5.80077295437059,8.45,,8.42,19068.0,6.847
1978-10-01,6734.069,30119.0,98.9758010555742,223271.0,9.14,67.1,7.99,8.89,31.86206,2230500.0,209.891,5.8,9.59,5.58546655658802,8.96,,8.64,19142.0,6.971
1978-11-01,6734.069,30119.0,98.5824513767903,223477.0,10.01,67.5,8.64,9.03,31.86206,2223750.0,209.891,5.9,9.83,5.2224114153363,9.76,,8.81,19257.0,6.971
1978-12-01,6734.069,30119.0,98.225999181531,223670.0,10.3,67.9,9.08,9.16,31.86206,2286600.0,209.891,6.0,9.94,5.31651746265295,10.03,,9.01,19334.0,6.971
