Date,open,high,low,close,Volume,Volume MA
1973-06-01T13:30:00Z,102.3,104.79,99.43,100.98,NaN,NaN
1973-07-02T13:30:00Z,100.15,109.36,99.39,108.64,NaN,NaN
1973-08-01T13:30:00Z,108.64,108.64,101.34,104.87,NaN,NaN
1973-09-03T13:30:00Z,105.5,111.27,105.33,111.2,NaN,NaN
1973-10-01T13:30:00Z,110.97,114.1,110.17,110.17,NaN,NaN
1973-11-01T14:30:00Z,109.62,109.62,93.07,93.51,NaN,NaN
1973-12-03T14:30:00Z,91.97,93.54,88.67,92.19,NaN,NaN
1974-01-01T14:30:00Z,92.53,95.95,91.42,94.93,NaN,NaN
1974-02-01T13:30:00Z,94.15,94.35,90.08,94.35,NaN,NaN
1974-03-01T13:30:00Z,94.05,96.53,92.27,92.27,NaN,NaN
1974-04-01T13:30:00Z,91.9,92.13,86.04,86.86,NaN,NaN
1974-05-01T13:30:00Z,87.63,87.97,79.78,80.2,NaN,NaN
1974-06-03T13:30:00Z,81.08,83.92,75.96,75.96,NaN,NaN
1974-07-01T13:30:00Z,75.39,75.39,69.65,69.99,NaN,NaN
1974-08-01T13:30:00Z,69.63,71.68,61.37,62.37,NaN,NaN
1974-09-02T13:30:00Z,60.88,60.88,55.67,55.67,NaN,NaN
1974-10-01T13:30:00Z,55.48,65.23,54.87,65.23,NaN,NaN
1974-11-01T14:30:00Z,65.06,66.72,60.75,62.95,NaN,NaN
1974-12-02T14:30:00Z,61.66,61.66,57.86,59.82,NaN,NaN
1975-01-01T14:30:00Z,60.7,69.78,60.7,69.78,NaN,NaN
1975-02-03T14:30:00Z,70.73,73.79,70.13,73,NaN,NaN
1975-03-03T13:30:00Z,73.83,76.27,73.83,75.66,NaN,NaN
1975-04-01T13:30:00Z,75.42,79.08,74.34,78.54,NaN,NaN
1975-05-01T13:30:00Z,79.27,83.1,79.27,83.1,NaN,NaN
1975-06-02T13:30:00Z,83.88,87.02,82.99,87.02,NaN,NaN
1975-07-01T13:30:00Z,86.33,88,82.67,83.19,NaN,NaN
1975-08-01T13:30:00Z,81.82,81.82,75.52,79.01,NaN,NaN
1975-09-01T13:30:00Z,77.89,78.13,73.78,74.33,NaN,NaN
1975-10-01T13:30:00Z,73.8,79.06,73.8,76.99,NaN,NaN
1975-11-03T14:30:00Z,76.62,79.27,76.62,78.8,NaN,NaN
1975-12-01T14:30:00Z,78.66,78.66,74.52,77.62,NaN,NaN
1976-01-01T14:30:00Z,78.06,87.05,78.06,87.05,NaN,NaN
1976-02-02T14:30:00Z,87.28,92.09,87.25,90.26,NaN,NaN
1976-03-01T14:30:00Z,90.25,91.21,89.47,90.62,NaN,NaN
1976-04-01T14:30:00Z,90.44,91.55,88.6,90.08,NaN,NaN
1976-05-03T13:30:00Z,89.05,90.64,87.78,88.04,NaN,NaN
1976-06-01T13:30:00Z,87.81,90.32,86.95,90.32,NaN,NaN
1976-07-01T13:30:00Z,90.28,92.52,90.28,91.29,NaN,NaN
1976-08-02T13:30:00Z,91.27,92.01,89.13,89.7,NaN,NaN
1976-09-01T13:30:00Z,90.59,92.44,90.53,91.26,NaN,NaN
1976-10-01T13:30:00Z,90.44,90.46,88.73,90.35,NaN,NaN
1976-11-01T14:30:00Z,90.39,91.42,87.82,91.12,NaN,NaN
1976-12-01T14:30:00Z,91.83,97.88,91.83,97.88,NaN,NaN
1977-01-03T14:30:00Z,97.69,97.69,95.54,95.54,NaN,NaN
1977-02-01T14:30:00Z,96.3,96.74,94.57,94.57,NaN,NaN
1977-03-01T14:30:00Z,95.14,96.58,94.13,94.13,NaN,NaN
1977-04-01T14:30:00Z,94.54,96.36,93.66,95.48,NaN,NaN
1977-05-02T13:30:00Z,95.83,98.47,95.59,95.59,NaN,NaN
1977-06-01T13:30:00Z,95.86,99.73,95.8,99.73,NaN,NaN
1977-07-01T13:30:00Z,99.9,103.11,99.9,100.65,NaN,NaN
1977-08-01T13:30:00Z,100.76,101.05,99.89,100.1,NaN,NaN
1977-09-01T13:30:00Z,100.4,101.28,99.47,100.85,NaN,NaN
1977-10-03T13:30:00Z,101.16,101.69,96.83,97.52,NaN,NaN
1977-11-01T14:30:00Z,96.74,104.33,96.49,103.15,NaN,NaN
1977-12-01T14:30:00Z,103.68,105.05,102.5,105.05,NaN,NaN
1978-01-02T14:30:00Z,104,104,99.09,100.84,NaN,NaN
1978-02-01T14:30:00Z,101.54,103.58,101.47,101.47,NaN,NaN
1978-03-01T14:30:00Z,101.47,106.2,101.47,106.2,NaN,NaN
1978-04-03T14:30:00Z,105.89,115.18,105.89,115.18,NaN,NaN
1978-05-01T13:30:00Z,115.96,121.93,115.96,120.24,NaN,NaN
1978-06-01T13:30:00Z,120.34,124.51,119.18,120.3,NaN,NaN
1978-07-03T13:30:00Z,120.15,126.32,118.82,126.32,NaN,NaN
1978-08-01T13:30:00Z,126.81,135.84,126.81,135.01,NaN,NaN
1978-09-01T13:30:00Z,135.35,139.25,132.01,132.89,NaN,NaN
1978-10-02T13:30:00Z,133.3,135.58,111.12,111.12,NaN,NaN
1978-11-01T14:30:00Z,114.65,116.17,110.88,114.69,NaN,NaN
1978-12-01T14:30:00Z,116.19,119.15,114.33,117.98,NaN,NaN
1979-01-01T14:30:00Z,117.84,127.04,117.84,125.82,NaN,NaN
1979-02-01T14:30:00Z,125.76,125.83,122.56,122.56,NaN,NaN
1979-03-01T14:30:00Z,123.33,131.76,123.33,131.76,NaN,NaN
1979-04-02T14:30:00Z,131.36,134.78,131.36,133.82,NaN,NaN
1979-05-01T13:30:00Z,133.79,134.2,128.99,131.42,NaN,NaN
1979-06-01T13:30:00Z,131.76,138.13,131.76,138.13,NaN,NaN
1979-07-02T13:30:00Z,137.03,141.33,137.03,141.33,NaN,NaN
1979-08-01T13:30:00Z,141.9,150.44,141.9,150.44,NaN,NaN
1979-09-03T13:30:00Z,148.49,150.65,146.03,149.98,NaN,NaN
1979-10-01T13:30:00Z,149.59,152.29,132.61,135.53,NaN,NaN
1979-11-01T14:30:00Z,136.42,144.26,134.14,144.26,NaN,NaN
1979-12-03T14:30:00Z,143.86,151.14,143.86,151.14,NaN,NaN
1980-01-01T14:30:00Z,148.17,161.75,145.97,161.75,NaN,NaN
1980-02-01T14:30:00Z,162.3,165.25,157.46,158.03,NaN,NaN
1980-03-03T14:30:00Z,156.87,156.87,124.09,131,NaN,NaN
1980-04-01T14:30:00Z,133.14,139.99,133.08,139.99,NaN,NaN
1980-05-01T13:30:00Z,139.68,150.7,139.68,150.45,NaN,NaN
1980-06-02T13:30:00Z,150.17,159.18,149.92,157.78,NaN,NaN
1980-07-01T13:30:00Z,158.17,172.33,158.17,171.81,NaN,NaN
1980-08-01T13:30:00Z,172.49,182.39,171.89,181.52,NaN,NaN
1980-09-01T13:30:00Z,182.34,195.94,182.34,187.76,NaN,NaN
1980-10-01T13:30:00Z,189.62,199.43,189.62,192.78,NaN,NaN
1980-11-03T14:30:00Z,193.15,208.15,193.1,208.15,NaN,NaN
1980-12-01T14:30:00Z,204.91,206.19,188.75,202.34,NaN,NaN
1981-01-01T14:30:00Z,203.55,204.17,195.89,197.81,NaN,NaN
1981-02-02T14:30:00Z,193.09,198.01,192.29,198.01,NaN,NaN
1981-03-02T14:30:00Z,199.06,210.18,198.16,210.18,NaN,NaN
1981-04-01T14:30:00Z,211.34,219.88,211.27,216.74,NaN,NaN
