Date,House Majority,Senate Majority,Presidency
01/01/1970,1,1,2
02/01/1970,1,1,2
03/01/1970,1,1,2
04/01/1970,1,1,2
05/01/1970,1,1,2
06/01/1970,1,1,2
07/01/1970,1,1,2
08/01/1970,1,1,2
09/01/1970,1,1,2
10/01/1970,1,1,2
11/01/1970,1,1,2
12/01/1970,1,1,2
01/01/1971,1,1,2
02/01/1971,1,1,2
03/01/1971,1,1,2
04/01/1971,1,1,2
05/01/1971,1,1,2
06/01/1971,1,1,2
07/01/1971,1,1,2
08/01/1971,1,1,2
09/01/1971,1,1,2
10/01/1971,1,1,2
11/01/1971,1,1,2
12/01/1971,1,1,2
01/01/1972,1,1,2
02/01/1972,1,1,2
03/01/1972,1,1,2
04/01/1972,1,1,2
05/01/1972,1,1,2
06/01/1972,1,1,2
07/01/1972,1,1,2
08/01/1972,1,1,2
09/01/1972,1,1,2
10/01/1972,1,1,2
11/01/1972,1,1,2
12/01/1972,1,1,2
01/01/1973,1,1,2
02/01/1973,1,1,2
03/01/1973,1,1,2
04/01/1973,1,1,2
05/01/1973,1,1,2
06/01/1973,1,1,2
07/01/1973,1,1,2
08/01/1973,1,1,2
09/01/1973,1,1,2
10/01/1973,1,1,2
11/01/1973,1,1,2
12/01/1973,1,1,2
01/01/1974,1,1,2
02/01/1974,1,1,2
03/01/1974,1,1,2
04/01/1974,1,1,2
05/01/1974,1,1,2
06/01/1974,1,1,2
07/01/1974,1,1,2
08/01/1974,1,1,2
09/01/1974,1,1,2
10/01/1974,1,1,2
11/01/1974,1,1,2
12/01/1974,1,1,2
01/01/1975,1,1,2
02/01/1975,1,1,2
03/01/1975,1,1,2
04/01/1975,1,1,2
05/01/1975,1,1,2
06/01/1975,1,1,2
07/01/1975,1,1,2
08/01/1975,1,1,2
09/01/1975,1,1,2
10/01/1975,1,1,2
11/01/1975,1,1,2
12/01/1975,1,1,2
01/01/1976,1,1,2
02/01/1976,1,1,2
03/01/1976,1,1,2
04/01/1976,1,1,2
05/01/1976,1,1,2
06/01/1976,1,1,2
07/01/1976,1,1,2
08/01/1976,1,1,2
09/01/1976,1,1,2
10/01/1976,1,1,2
11/01/1976,1,1,2
12/01/1976,1,1,2
01/01/1977,1,1,1
02/01/1977,1,1,1
03/01/1977,1,1,1
